team,player,games,total_pts,avg_pts_per_game
Atlanta,Dejounte Murray,72,1430,19.86
Atlanta,Trae Young,51,1005,19.71
Atlanta,Bogdan Bogdanović,72,1089,15.12
Atlanta,Jalen Johnson,52,731,14.06
Atlanta,De'Andre Hunter,51,646,12.67
Atlanta,Saddiq Bey,63,693,11.0
Atlanta,Clint Capela,67,648,9.67
Atlanta,Onyeka Okongwu,55,469,8.53
Atlanta,Vit Krejci,13,96,7.38
Atlanta,Dylan Windler,3,16,5.33
Atlanta,Bruno Fernando,35,178,5.09
Atlanta,Garrison Mathews,53,234,4.42
Atlanta,Kobe Bufkin,10,34,3.4
Atlanta,Patty Mills,15,51,3.4
Atlanta,Wesley Matthews,31,92,2.97
Atlanta,AJ Griffin,17,35,2.06
Atlanta,Trent Forrest,32,64,2.0
Atlanta,Seth Lundy,9,11,1.22
Atlanta,Mouhamed Gueye,1,0,0.0
Boston,Jayson Tatum,70,1513,21.61
Boston,Jaylen Brown,66,1328,20.12
Boston,Kristaps Porziņģis,53,826,15.58
Boston,Derrick White,69,940,13.62
Boston,Jrue Holiday,64,747,11.67
Boston,Sam Hauser,72,619,8.6
Boston,Al Horford,61,500,8.2
Boston,Payton Pritchard,75,601,8.01
Boston,Luke Kornet,49,244,4.98
Boston,Neemias Queta,22,102,4.64
Boston,Svi Mykhailiuk,27,100,3.7
Boston,Oshae Brissett,36,133,3.69
Boston,Lamar Stevens,14,45,3.21
Boston,Drew Peterson,1,3,3.0
Boston,Dalano Banton,20,40,2.0
Boston,JD Davison,3,6,2.0
Boston,Jaden Springer,7,12,1.71
Boston,Jordan Walsh,5,6,1.2
Boston,Xavier Tillman,13,0,0.0
Brooklyn,Cam Thomas,60,1069,17.82
Brooklyn,Mikal Bridges,76,1287,16.93
Brooklyn,Dennis Schröder,25,324,12.96
Brooklyn,Cameron Johnson,56,676,12.07
Brooklyn,Nic Claxton,66,689,10.44
Brooklyn,Spencer Dinwiddie,48,479,9.98
Brooklyn,Dorian Finney-Smith,66,536,8.12
Brooklyn,Royce O'Neale,49,349,7.12
Brooklyn,Ben Simmons,14,86,6.14
Brooklyn,Trendon Watford,53,305,5.75
Brooklyn,Day'Ron Sharpe,58,330,5.69
Brooklyn,Armoni Brooks,8,41,5.12
Brooklyn,Keon Johnson,4,18,4.5
Brooklyn,Jalen Wilson,34,137,4.03
Brooklyn,Harry Giles,12,47,3.92
Brooklyn,Noah Clowney,12,44,3.67
Brooklyn,Keita Bates-Diop,8,17,2.12
Brooklyn,Dariq Whitehead,1,2,2.0
Brooklyn,Dennis Smith,56,0,0.0
Brooklyn,Lonnie Walker,54,0,0.0
Brooklyn,Jacob Gilyard,1,0,0.0
Charlotte,LaMelo Ball,22,436,19.82
Charlotte,Terry Rozier,30,587,19.57
Charlotte,Miles Bridges,64,1204,18.81
Charlotte,Brandon Miller,68,1035,15.22
Charlotte,P.J. Washington,43,533,12.4
Charlotte,Gordon Hayward,25,300,12.0
Charlotte,Grant Williams,24,278,11.58
Charlotte,Mark Williams,19,196,10.32
Charlotte,Tre Mann,21,212,10.1
Charlotte,Vasilije Micić,24,237,9.88
Charlotte,Dāvis Bertāns,22,174,7.91
Charlotte,Nick Richards,64,498,7.78
Charlotte,Seth Curry,8,61,7.62
Charlotte,Cody Martin,28,191,6.82
Charlotte,Aleksej Pokusevski,11,57,5.18
Charlotte,Bryce McGowens,46,208,4.52
Charlotte,Théo Maledon,11,43,3.91
Charlotte,James Bouknight,13,49,3.77
Charlotte,Ish Smith,39,136,3.49
Charlotte,JT Thor,45,141,3.13
Charlotte,Leaky Black,16,41,2.56
Charlotte,Marques Bolden,2,4,2.0
Charlotte,Nathan Mensah,16,24,1.5
Charlotte,Amari Bailey,6,6,1.0
Charlotte,Frank Ntilikina,5,3,0.6
Charlotte,Nick Smith,45,0,0.0
Chicago,DeMar DeRozan,74,1252,16.92
Chicago,Nikola Vučević,71,1168,16.45
Chicago,Coby White,73,1200,16.44
Chicago,Zach LaVine,25,399,15.96
Chicago,Ayo Dosunmu,74,805,10.88
Chicago,Alex Caruso,67,606,9.04
Chicago,Patrick Williams,43,377,8.77
Chicago,Andre Drummond,75,510,6.8
Chicago,Torrey Craig,47,256,5.45
Chicago,Jevon Carter,63,325,5.16
Chicago,Javonte Green,3,15,5.0
Chicago,Adama Sanogo,2,8,4.0
Chicago,Onuralp Bitim,18,67,3.72
Chicago,Dalen Terry,42,116,2.76
Chicago,Julian Phillips,28,76,2.71
Chicago,Terry Taylor,20,42,2.1
Chicago,Henri Drell,1,2,2.0
Chicago,Andrew Funk,1,0,0.0
Cleveland,Donovan Mitchell,51,1109,21.75
Cleveland,Darius Garland,52,789,15.17
Cleveland,Evan Mobley,44,592,13.45
Cleveland,Jarrett Allen,71,942,13.27
Cleveland,Caris LeVert,63,729,11.57
Cleveland,Max Strus,64,718,11.22
Cleveland,Georges Niang,76,675,8.88
Cleveland,Sam Merrill,55,459,8.35
Cleveland,Isaac Okoro,65,528,8.12
Cleveland,Marcus Morris,8,53,6.62
Cleveland,Dean Wade,52,271,5.21
Cleveland,Damian Jones,22,84,3.82
Cleveland,Tristan Thompson,37,140,3.78
Cleveland,Emoni Bates,9,33,3.67
Cleveland,Isaiah Mobley,5,12,2.4
Cleveland,Ty Jerome,2,4,2.0
Cleveland,Craig Porter,40,0,0.0
Cleveland,Pete Nance,1,0,0.0
Dallas,Luka Dončić,66,1786,27.06
Dallas,Kyrie Irving,53,1182,22.3
Dallas,Daniel Gafford,22,226,10.27
Dallas,P.J. Washington,23,228,9.91
Dallas,Josh Green,54,421,7.8
Dallas,Dante Exum,47,347,7.38
Dallas,Grant Williams,47,341,7.26
Dallas,Jaden Hardy,65,433,6.66
Dallas,Dexter Dennis,4,21,5.25
Dallas,Seth Curry,30,137,4.57
Dallas,A.J. Lawson,29,107,3.69
Dallas,Maxi Kleber,36,132,3.67
Dallas,Dwight Powell,39,137,3.51
Dallas,Richaun Holmes,19,66,3.47
Dallas,Markieff Morris,20,53,2.65
Dallas,Olivier-Maxence Prosper,27,60,2.22
Dallas,Brandon Williams,10,18,1.8
Dallas,Derrick Jones,69,0,0.0
Dallas,Dereck Lively,55,0,0.0
Dallas,Tim Hardaway,72,0,0.0
Dallas,Greg Brown,4,0,0.0
Denver,Nikola Jokić,73,1589,21.77
Denver,Jamal Murray,54,983,18.2
Denver,Aaron Gordon,69,801,11.61
Denver,Reggie Jackson,76,702,9.24
Denver,Kentavious Caldwell-Pope,70,594,8.49
Denver,Christian Braun,76,452,5.95
Denver,Peyton Watson,74,426,5.76
Denver,Julian Strawther,40,202,5.05
Denver,Justin Holiday,44,203,4.61
Denver,Collin Gillespie,19,79,4.16
Denver,DeAndre Jordan,30,116,3.87
Denver,Zeke Nnaji,48,127,2.65
Denver,Hunter Tyson,9,18,2.0
Denver,Jalen Pickett,19,36,1.89
Denver,Jay Huff,10,17,1.7
Denver,Braxton Key,11,16,1.45
Denver,Michael Porter,75,0,0.0
