team,player_count,team_avg_pts
Atlanta,19,7.78
Indiana,21,7.76
Charlotte,26,7.75
Cleveland,18,7.74
Portland,22,7.6
Utah,19,7.51
Chicago,18,7.45
Miami,21,7.35
San Antonio,17,7.31
Boston,19,7.24
Toronto,27,7.16
Golden State,18,7.05
Houston,17,6.94
Phoenix,22,6.91
Detroit,29,6.84
Milwaukee,19,6.79
Minnesota,18,6.72
Sacramento,20,6.68
New York,26,6.65
Brooklyn,21,6.59
LA Lakers,21,6.56
Denver,17,6.38
LA Clippers,21,6.38
Orlando,18,6.33
Washington,23,6.29
Philadelphia,26,6.23
Dallas,21,6.17
Oklahoma,22,5.91
New Orleans,20,5.77
Memphis,31,5.73
